,Vid,trial_type,unpleasant_1,unpleasant_2,unpleasant_3,arousing_1,arousing_2,arousing_3,disgusting_1,disgusting_2,disgusting_3,frightening_1,frightening_2,frightening_3,disgust_stim,fear_stim,participant_no,batch,batch1_participant_no,unpleasant_total,arousing_total,disgusting_total,frightening_total,correct_disgust_stim,correct_fear_stim
3,1987,disgust,7,6,6,6,4,4,6,5,5,5,5,5,0,0,9.0,3,,12,8,10,10,,
4,2106,disgust,6,6,5,3,5,3,5,5,5,2,2,5,1,0,9.0,3,,11,8,10,7,,
5,0046,fear,1,6,5,1,5,3,0,1,2,5,7,6,0,1,9.0,3,,11,8,3,13,,
6,0374,fear,1,5,2,2,2,3,1,0,2,3,5,5,0,0,9.0,3,,7,5,2,10,,
7,0548,fear,6,6,6,5,3,3,2,5,3,5,7,5,0,0,9.0,3,,12,6,8,12,,
8,0877,fear,1,5,3,1,3,5,1,2,1,1,4,1,0,0,9.0,3,,8,8,3,5,,
9,1202,fear,2,1,3,0,1,4,0,1,1,1,4,3,0,0,9.0,3,,4,5,2,7,,
0,0888,disgust,8,0,4,2,1,0,8,0,0,5,0,1,0,0,10.0,3,,4,1,0,1,,
1,1414,disgust,3,1,2,0,0,0,0,0,0,0,0,0,0,0,10.0,3,,3,0,0,0,,
2,1765,disgust,8,8,0,1,0,0,8,8,0,0,1,0,1,0,10.0,3,,8,0,8,1,,
3,1987,disgust,8,7,3,0,0,0,4,8,7,2,2,0,0,0,10.0,3,,10,0,15,2,,
4,2106,disgust,7,8,0,2,0,0,6,8,2,6,8,0,0,0,10.0,3,,8,0,10,8,,
5,0046,fear,1,0,0,0,0,0,0,0,0,2,3,0,0,0,10.0,3,,0,0,0,3,,
6,0374,fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3,,0,0,0,0,,
7,0548,fear,0,8,0,0,0,0,0,8,0,2,8,1,0,1,10.0,3,,8,0,8,9,,
8,0877,fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3,,0,0,0,0,,
9,1202,fear,0,0,0,0,0,0,0,0,0,5,2,4,0,0,10.0,3,,0,0,0,6,,
0,0888,disgust,8,8,8,6,4,5,8,8,8,7,6,6,0,0,11.0,1,3.0,16,9,16,12,,
1,1414,disgust,8,8,8,4,4,5,8,8,8,5,5,6,0,0,11.0,1,3.0,16,9,16,11,1.0,
2,1765,disgust,8,7,8,5,5,5,8,7,8,6,6,6,0,0,11.0,1,3.0,15,10,15,12,,
3,1987,disgust,8,8,8,5,6,4,8,8,8,6,7,6,1,0,11.0,1,3.0,16,10,16,13,,
4,2106,disgust,8,8,8,5,5,5,8,8,8,6,7,7,0,0,11.0,1,3.0,16,10,16,14,,
5,0046,fear,7,7,6,6,5,6,0,4,5,8,7,8,0,0,11.0,1,3.0,13,11,9,15,,
6,0374,fear,6,7,7,4,5,6,4,4,5,6,6,7,0,0,11.0,1,3.0,14,11,9,13,,
7,0548,fear,8,8,7,5,5,5,4,5,5,8,8,8,0,1,11.0,1,3.0,15,10,10,16,,1.0
8,0877,fear,7,7,8,6,4,5,5,4,5,7,5,6,0,0,11.0,1,3.0,15,9,9,11,,
9,1202,fear,7,6,6,5,5,5,4,4,5,7,7,8,0,0,11.0,1,3.0,12,10,9,15,,
0,0888,disgust,6,4,6,5,4,4,1,6,8,0,5,0,0,0,12.0,3,,10,8,14,5,,
1,1414,disgust,0,0,6,4,6,4,1,6,8,0,0,0,0,0,12.0,3,,6,10,14,0,,
2,1765,disgust,0,5,6,4,4,4,2,6,6,0,0,0,0,0,12.0,3,,11,8,12,0,,
3,1987,disgust,6,6,0,5,4,4,0,0,6,0,6,1,0,0,12.0,3,,6,8,6,7,,
4,2106,disgust,6,4,7,6,4,4,0,8,8,0,0,0,1,0,12.0,3,,11,8,16,0,,
5,0046,fear,1,0,0,4,2,1,0,0,0,0,8,8,0,0,12.0,3,,0,3,0,16,,
6,0374,fear,0,0,0,6,7,6,0,0,0,0,0,0,0,0,12.0,3,,0,13,0,0,,
7,0548,fear,0,8,5,4,4,5,0,0,4,0,8,8,0,1,12.0,3,,13,9,4,16,,
8,0877,fear,0,7,1,4,2,4,0,0,0,0,6,6,0,0,12.0,3,,8,6,0,12,,
9,1202,fear,0,0,0,6,0,1,0,0,0,5,8,8,0,0,12.0,3,,0,1,0,16,,
0,0888,disgust,1,1,1,2,6,1,1,1,1,1,1,1,0,0,13.0,3,,2,7,2,2,,
1,1414,disgust,5,5,6,4,5,2,5,5,6,1,5,1,1,0,13.0,3,,11,7,11,6,,
2,1765,disgust,1,1,1,5,1,1,1,1,1,0,1,1,0,0,13.0,3,,2,2,2,2,,
3,1987,disgust,3,2,2,6,2,6,2,2,2,1,2,2,0,0,13.0,3,,4,8,4,4,,
4,2106,disgust,4,1,1,6,1,1,4,1,1,1,1,1,0,0,13.0,3,,2,2,2,2,,
5,0046,fear,6,6,6,6,6,7,1,6,6,6,6,6,0,0,13.0,3,,12,13,12,12,,
6,0374,fear,0,1,1,6,1,4,0,1,1,1,1,1,0,0,13.0,3,,2,5,2,2,,
7,0548,fear,1,6,7,1,6,7,1,6,7,1,6,7,0,1,13.0,3,,13,13,13,13,,
8,0877,fear,6,4,4,2,4,4,0,4,4,1,4,4,0,0,13.0,3,,8,8,8,8,,
9,1202,fear,3,3,4,4,3,4,0,3,4,5,3,4,0,0,13.0,3,,7,7,7,7,,
